created_at,tweet_text,hashtags,name,username,tweet_count
2022-08-04 18:39:35+00:00,"RT @RashidKhanFund: Hi Rashid Khan here, we are raising money to support families affected by recent earthquake in Paktia and Khost provinc…",,Suhana Shah,SuhanaShah17,5
2022-08-04 19:23:08+00:00,"RT @DomesticCEOCat: It’s time to help the people of Kentucky recover. 

And it’s as simple as a $6 bag of coffee or a $20 cash donation.…",,Ubbë the Appalachistan MurderCult Moonshiner,ubbe_ragnarsson,55
2022-08-04 18:39:08+00:00,"RT @SAfridiOfficial: I’m supporting @rashidkhan_19’s campaign to provide relief to earthquake victims in Afghanistan. 

Donate now at https…",,Suhana Shah,SuhanaShah17,5
2022-08-04 19:34:31+00:00,@Travelers @ConstructionMag Disgusting company! You sent out fake evacuation alerts to people living near a wildfire. How cruel and an  unethical practice to bring chaos into an already scary situation. The McKinney wildfire is only 4 miles away and you decide to tell people to evacuate! Shame on you!,,Lily Anderson,LilysDesk,5
2022-08-04 19:03:50+00:00,RT @ShareTheMealorg: Earthquake in Afghanistan 🆘 WFP's aid is even more vital for families in Afghanistan. Donate life-saving food now.,,DeidoBoy1103,DeidoBoy1103,5
2022-08-04 17:06:11+00:00,RT @POWERpaulbrian: Please support  - #DearGREYSupports BINNADANG ( Bayanihan ) Poetry and Music for a cause. An online fundraising for the…,['DearGREYSupports'],iskolarium,iskolarium,5
2022-08-04 18:23:13+00:00,"RT @ellikasan: The province of Abra (where Kaparkan Falls is located) has recently been hit by a strong earthquake. If you can, please dona…",,ThroneOfDusts🔞,ThroneDusts,5
2022-08-04 19:23:54+00:00,"RT @Sustainable2050: 540,000(!) people in Japan told to evacuate because of flood risk after torrential rain: up to 270 mm (10.6"") in 24 ho…",,Only Italian Fans,lesuperburp,15
2022-08-04 17:04:55+00:00,"RT @BGPolitics: Beshear says ""do not donate clothing"" to flood relief shelters. Instead, focus on money and other items like cleaning suppl…",,K🫖,Katiedid626,5
2022-08-04 16:59:59+00:00,"KY FLOOD DISASTER - it's been 1 week w/NO FOOD, WATER, ELECTRICITY. Donate to https://t.co/qeHEfBNbfO",,Kelly Ray,KRay1776,5
2022-08-04 17:54:16+00:00,RT @TinTincognito: Aug 4 EWE:  Japan – Thousands Ordered to Evacuate After Record Rainfall Triggers Floods and Mudslides. https://t.co/C5bz…,,Mary Sutton Greeley,Lucky_finds,5
2022-08-04 17:36:31+00:00,"RT @DomesticCEOCat: Totally random post or is it? 
buckets and mopheads for Kentucky… 

It’s not too late to donate cash or supplies. 

htt…",,Bethoc’s Ghost,B_Aeilflaed,5
2022-08-04 18:34:35+00:00,"RT @RaeJ_33: Via Beshear: do NOT donate clothing to flood, makes it too hard on distribution centers. Donate water, cleaning supplies, gift…",,The other RAF,rachelhasonea,15
2022-08-04 18:37:58+00:00,"RT @mirhamza_k: Thanks for the nomination @saimaxkhan .

I’m supporting @rashidkhan_19’s campaign to provide relief to earthquake victims i…",,Suhana Shah,SuhanaShah17,5
2022-08-04 18:54:42+00:00,RT @bgdailynews: The Bowling Green Independent School District is among many of the area’s school districts collecting resources to donate…,,Justin Story,JstoryDailyNews,5
2022-08-04 19:34:16+00:00,"RT @TDEM: 🔥Wildfire Tips🔥

🚗Learn evacuation routes. Evacuate if advised by local officials
🎒Keep emergency supplies at home/work/car
🗂Chec…",,Frankie says www.votetexas.gov/register-to-vote,centexsculler,5
2022-08-04 18:05:47+00:00,RT @LouGirl502: The @KYColonels are collecting monetary donations for flood relief in Eastern Kentucky. I will only be sharing known entiti…,,ℭ𝔬𝔩𝔬𝔫𝔢𝔩 𝔗𝔦𝔪 𝔊𝔦𝔟𝔰𝔬𝔫 🖖 🚀,Exposed_Comic,5
2022-08-04 17:28:42+00:00,Breaks my heart that this wildfire is where I have many memories. Praying for all my friends and others who have to evacuate. Also praying that the firefighters can put it out soon.,,FatSleepyPanda,FatSleepyPanda,5
2022-08-04 18:10:51+00:00,RT @FOX56News: Friday at 7 p.m. tune in to FOX 56 to learn how your donation to the Christian Appalachian Project can support eastern Kentu…,,Allen -- G O--B I G--B L U E,AHatfieldii,10
2022-08-04 18:37:50+00:00,RT @waqyounis99: Kindly Support and Donate at.. https://t.co/qhqLHZSS5l #EarthQuakeAfghanistan @rashidkhan_19 @AajKamranKhan @HamidMirPAK @…,['EarthQuakeAfghanistan'],Suhana Shah,SuhanaShah17,5
2022-08-04 18:37:14+00:00,"RT @shani_official: Thanks for the nomination @saimaxkhan

I’m supporting @rashidkhan_19’s campaign to provide relief to earthquake victims…",,Suhana Shah,SuhanaShah17,5
2022-08-04 17:00:09+00:00,"Our #SalvationArmy Social Services team works with #STL flood survivors at MARC sessions. They provide gift cards to buy clothes, food supplies &amp; other necessities.

Donate today to help #STL region #flood victims obtain recovery needs: https://t.co/roGwt4qzZ3  

#STLFloods https://t.co/ayhrRGPalk","['SalvationArmy', 'STL', 'STL', 'flood', 'STLFloods']",The Salvation Army St. Louis,SalArmySTL,5
2022-08-04 18:54:09+00:00,"RT @BadarHassan10: Help needed!!!!

There are cases of skin disease among flood victims in Lasbela, Balochistan, so could someone kindly pu…",,Muhammad Bilal Khan,Muhamma69258470,20
2022-08-04 18:00:12+00:00,"During a wildfire 👇
 
🏡 Keep companion animals inside

🧰 Have a prepared emergency kit ready

🏃‍♀️ Plan an escape route

📞 Make sure a neighbor can evacuate them if you’re not home",,PETA,peta,5
2022-08-04 18:58:19+00:00,"We know UGA is fighting a wild battle against schools with huge NIL budgets who are using the flood of dollars to buy recruits.
Kirby mentioned Classic City Collective, at SEC media days. That's how much it means to Kirby.
Support UGA Athletes. Donate now!
https://t.co/gu5OWkKNQ9",,nevertolate,neverto62618841,5
2022-08-04 19:29:19+00:00,RT @mazerunn3rr: Gambians are currently suffering from terrible floods caused by this years rainy season. This happens literally every year…,,d💫,DarkHorseGurl,5
2022-08-04 17:31:03+00:00,@throwingstones7 @im_uname Sir can you please donate some for our food we are affected by floods and our everything is drown in flood.  Please help us.we are homeless 🙏🙏🙏🙏,,iqbal,iqba_ab,5
2022-08-04 19:27:42+00:00,"Wildfire season is here. With several fires burning around our region, we want to take moment to share our deep appreciation and thanks for all our Cascades Region volunteers who help us respond when communities are in need. 

Learn more at https://t.co/5mpFBJUVbm. ⛑ https://t.co/Y1MmgCjyD1",,Red Cross Cascades,RedCrossCasc,5
2022-08-04 17:54:27+00:00,RT @WGNOtv: Our hearts are with the victims affected by flooding in Eastern Kentucky. WGNO is teaming up with our sister station @FOX56News…,,Brandon Powe,BrandonPowe2,5
2022-08-04 18:37:03+00:00,RT @RohaNadym: Lets join hands in helping @rashidkhan_19 achieve this goal. Please donate at https://t.co/DeM785pVCS to help the victims of…,,Suhana Shah,SuhanaShah17,5
2022-08-04 18:19:58+00:00,"LG&amp;E and KU donate $50,000 and send crews to aid flood relief
https://t.co/hFk81CgInJ https://t.co/tKLeCqx4In",,The Lane Report,TheLaneReport,5
2022-08-04 18:38:57+00:00,"RT @peta: During a wildfire 👇
 
🏡 Keep companion animals inside

🧰 Have a prepared emergency kit ready

🏃‍♀️ Plan an escape route

📞 Make s…",,HOF❄⛄,hannahf330,25
2022-08-04 17:21:03+00:00,"RT @UWT_UK: Ṣadaqah extinguishes the anger of Allah, wipes away sins &amp; prevents evil endings. It wards off calamities, &amp; is a means to cure…",,Ahmed Nashid,nashid44482,5
2022-08-04 17:30:00+00:00,"More ways you can help with the relief efforts in Eastern KY.
https://t.co/94QDp2wYKS",,Z-ROCK 103,zrocklex,5
2022-08-04 17:20:07+00:00,"As California residents evacuate, firefighters prepare to battle a wildfire sweeping through the U.S. state. The McKinney fire continues to burn as the California wildfire death toll hits four. https://t.co/P9N1poScW2",,AccuWeather,accuweather,5
2022-08-04 18:39:20+00:00,RT @SamiShinwari45: PLZ Donate https://t.co/8tYQkoWLTr https://t.co/RzyGHdfnsc,,Suhana Shah,SuhanaShah17,5
2022-08-04 17:10:01+00:00,"RT @ladyroseofky: PPL wanting 2 help E KY flood victims

Listen 2 what’s needed Not what U think is

If U can come  2 help orgs that clean…",,Lynn V.,LynnV60109585,5
2022-08-04 18:58:17+00:00,"RT @BattleFlamingo: Let’s help spread the word.

America’s coffee company is leaving to go help out in KY!

All their profits from sales fr…",,Randall McCraney @RoadDog6,McCraneyRandall,5
2022-08-04 19:20:30+00:00,RT @Wenner_patrick: Kentucky got hit with terrible flooding this week. I'm going Wed to give away BBQ to relief workers and families in nee…,,Tammy R.,TammyIsstrange,5
2022-08-04 18:58:17+00:00,"BRISTOL, Tenn. (WCYB) — In response to historic flooding in Kentucky, Southwest Virginia and West Virginia, a local church is calling on area residents to donate supplies.
https://t.co/TAeNyfQjoc",,Ashley Hoak,AshleyWCYB,5
2022-08-04 19:06:38+00:00,"RT @Zipat_YN: #YouthNet has received the 'Volunteer Appreciation Award' yesterday from HRA Foundation, UK as recognition for supporting the…",['YouthNet'],Joas Scholz,JoasScholz,5
2022-08-04 17:16:06+00:00,Aug 4 EWE:  Japan – Thousands Ordered to Evacuate After Record Rainfall Triggers Floods and Mudslides. https://t.co/C5bz3MlT6z https://t.co/pZrYZpAYe4 https://t.co/sdQ0jiOnLc https://t.co/nTJ8DzU3nI https://t.co/k3FHFYrgfh https://t.co/DKXmplwkHa https://t.co/aIgsUWcGzY,,R.S. MacKinnon (he/him),TinTincognito,5
2022-08-04 17:52:49+00:00,"@StreamITSupport Cleanin's easy, these dudes are basically indestructible. Soap, bleach, boil are all good. Last time I moved I had a few hundred less, but I did once have a car full of dicks when I had to evacuate for a flood! Storage pics below, but they deserve better! 
https://t.co/GZYBqf0Eut",,Sleepypup,Sleepiestdog,5
2022-08-04 17:18:36+00:00,"@Booker4KY Previously it was a storm that took lives and properties, now it's a flood that devastated families in Kentucky then you keep on voting for the Republican party that only works to ensure the Billionaires donate their Taxes to them?? Keep swimming to your #RepublicanFreedom",['RepublicanFreedom'],Lescott Jones,JonesLess2001,5
2022-08-04 18:38:52+00:00,"RT @SamaraAfzal: I am supporting Rashid Khans campaign to provide relief to earthquake victims in Afghanistan. 

Donate now at https://t.co…",,Suhana Shah,SuhanaShah17,5
2022-08-04 19:11:51+00:00,"RT @jenrosesmithvt: As I edited this story by @JulietGrable for @Sierra_Magazine, the explosive McKinney fire forced my sister to evacuate…",,Kirk Murphy 🇺🇦,kirkmurphy,10
2022-08-04 18:57:29+00:00,"We are thankful Premium
Water for the donation!

7 pallets of water loaded and
we are  off to our neighboring Volunteer Fire Departments devastate by the flood waters.

It will take all of us helping, as 
we can, when we can.  
 #FloodRelief #support #firefighters_unite #BCVFDKY https://t.co/Kc1iQjjZ49","['FloodRelief', 'support', 'firefighters_unite', 'BCVFDKY']",Bell County Volunteer Fire Department,BellCoVolFD,5
2022-08-04 18:37:07+00:00,RT @WahabViki: Thanks for nominating me @shani_official. I extend my support towards @rashidkhan_19’s campaign for providing relief to the…,,Suhana Shah,SuhanaShah17,5
2022-08-04 17:12:46+00:00,"Please donate to this Baloch flood relief fund run by the Edhi Foundation. 
https://t.co/91Jcmei2FQ",,AyeshaK #MeraJismMeriMarzi,do_jeeney,5
2022-08-04 18:37:19+00:00,"RT @annie_khalid: Thanks @saimaxkhan 

Im@supporting @rashidkhan_19 ‘s campaign to provide relief to the earthquake victims in Afghanistan.…",,Suhana Shah,SuhanaShah17,5
2022-08-04 18:38:56+00:00,"RT @MirwaisAshraf16: Plz Donate 
https://t.co/RikkgMTThW
@rashidkhan_19  🙏🙏",,Suhana Shah,SuhanaShah17,5
2022-08-04 17:23:40+00:00,"Tragedy Struck When A Massive Flood Destroyed The Shelter And TEN PUPPIES WERE DROWNED

https://t.co/fBlAytodjO https://t.co/AQP9TWM9Vf",,IDNTKER is a Realist; #RESIST #FBR,MHaitch2,5
2022-08-04 17:52:23+00:00,Might have to evacuate my house due to a wildfire 👍,,abby,okayabs,5
2022-08-04 18:02:26+00:00,"RT @AlkhidmatItaly: Emergency Flood Appeal 2022 in Pakistan 
Heavy monsoon rains have put people at risk in Pakistan. 
Need Emergency Rehab…",,Shahnaz Jamil,ShahnazJamil1,5
2022-08-04 18:39:47+00:00,"RT @rashidkhan_19: This little angel is the only remaining alive member of her family, locals couldn’t find any other member of her family.…",,Suhana Shah,SuhanaShah17,5
2022-08-04 17:13:17+00:00,"#YouthNet has received the 'Volunteer Appreciation Award' yesterday from HRA Foundation, UK as recognition for supporting the most affected communities at Sunamganj, Sylhet, Habiganj, Netrokona and Kurigram by the recent flash flood. https://t.co/KsknGGvDRj",['YouthNet'],Mohaiminul Islam Zipat,Zipat_YN,5
2022-08-04 18:39:53+00:00,"RT @rashidkhan_19: Afghanistan will be #BackEvenStronger - Donate now at: https://t.co/08jToN4YAC

I nominate: @safridiofficial, @hardikpan…",['BackEvenStronger'],Suhana Shah,SuhanaShah17,5
2022-08-04 18:20:00+00:00,"Following deadly and destructive flooding that hit eastern Kentucky, communities in Western North Carolina are coming together to collect items for those in need. Here's how you can help. https://t.co/0dEG2nfODH",,WLOS,WLOS_13,5
2022-08-04 19:34:02+00:00,"Flood, Evacuate, Rinse, Repeat: A Relentless Pattern Batters Australia https://t.co/Bwipo46tGY",,Matt Wunch,MattWunch,5
2022-08-04 17:43:29+00:00,"Last year at this time we were living in terror of evacuation due to a really massive nearby wildfire - which did actually happen, we did evacuate - so it's really nice to have a more peaceful summer this year.",,Rosanna P. Brost 🐺🏳️‍🌈🐾 Copperbora 💙💛,RosannaPBrost,5
2022-08-04 17:55:12+00:00,RT @Teddy_the_dog: Help up help those affected by the severe #KentuckyFloods. Team Teddy is donating 100% of the profits to the ARH Foundat…,['KentuckyFloods'],Benjiman Blazkowicz,MetalRevolver82,5
